Vessel,Trip No,Counter,Status,Customer,Month,Time,Total Time,Last Discharge Port Depart,Discharge Port Depart,Discharge Counts,Load Counts,Trip Details,Product,Load Quantity,Total Load Quantity,Details,Vessel_y,Customer (Finance),Cargo (Finance),Contract Type,Load-Port 1,Load-Port 2,Load-Port 3,Discharge-Port 1,Discharge-Port 2,Discharge-Port 3,Discharge-Port 4,Trade Pattern (per sched),TRADE MASTER,Schedule Map,Freight rate (per tonne) - PY,Time charter rate (per day) - PY,Rebate (per tonne) - PY,Other revenue (per trip) - PY,Demurrage rate - PY,Despatch rate - PY,Avg. cc / trip (PY),Freight rate (per tonne) - CY,Time charter rate (per day) - CY,Rebate (per tonne) - CY,Other revenue (per trip) - CY,Demurrage rate - CY,Despatch rate - CY,Type,Avg. cc / trip (CY),Fuel surcharge peg (per L),Fuel surcharge type,Fuel surcharge (tonnage factor),Fuel surcharge (litres factor),Calc comments,Reference price,Column1,In CY schedules?,Total Freight,Total Rebate,Total Time Charter,Total Revenue,b_start_str,b_end_str,Timing,Timing_str,Month Start,Month1,Month End,Month2,Start Month Days,End Month Days
Alouette Spirit,1,3,Firm,ADM,Apr,7.01,7.01,2024-04-07 19:12:46.403,2024-04-14 19:25:07.937,1,1,"ADM,Grain,Windsor,Sillery",Grain,6200.0,6200.0,"Alouette Spirit,ADM,Grain,Windsor,Sillery",Alouette Spirit,ADM,Grain,COA,Windsor,,,Sillery,,,,Windsor__-Sillery___,Alouette Spirit*ADM*Grain*Windsor__-Sillery___,"Alouette Spirit,ADM,Grain,Windsor,Sillery",21.01,0,0,0,737.9,-624.38,29710,21.93,0,0,0,770.37,-385.18,,30720.14,0.725,Tonnage-based,5,0,Simple - Price difference per litre * metric tonnes * tonnage carried,Econo Fuel Price on date of loading in Hamilton,,YES,135966.0,0.0,0.0,135966.0,20240407191246,20240414192507,20240407191246.20240414192507,20240407191246.20240414192507,2024-04-01,4,2024-04-30 23:59:59.999999999,4,0.0,7.008582569444444
Alouette Spirit,2,4,Firm,Alouette,Apr,10.34,10.34,2024-04-14 19:25:07.937,2024-04-25 03:30:36.774,2,1,"Alouette,Aluminum,Sept Iles,Oswego,Toledo",Aluminum,11500.0,11500.0,"Alouette Spirit,Alouette,Aluminum,Sept Iles,Oswego,Toledo",Alouette Spirit,Alouette,Aluminum,COA,Sept-Iles,,,Oswego,Toledo,,,Sept-Iles__-Oswego_Toledo__,Alouette Spirit*Alouette*Aluminum*Sept-Iles__-Oswego_Toledo__,"Alouette Spirit,Alouette,Aluminum,Sept Iles,Oswego,Toledo",35.0066,0,2.15,0,951.13,-475.57,53046,35.17,0,2.5447053690843306,0,960.64,-480.33,,54849.564,0.7,Litres-based,0,92000,Simple - litres * price diff,Actual fuel price paid,,YES,404455.0,29264.111744469803,0.0,375190.8882555302,20240414192507,20240425033036,20240414192507.20240425033036,20240414192507.20240425033036,2024-04-01,4,2024-04-30 23:59:59.999999999,4,0.0,10.33713931712963
Alouette Spirit,3,5,Firm,ADM,May,1.15,7.01,2024-04-25 03:30:36.774,2024-05-02 03:42:58.308,1,1,"ADM,Grain,Windsor,Sillery",Grain,6200.0,6200.0,"Alouette Spirit,ADM,Grain,Windsor,Sillery",Alouette Spirit,ADM,Grain,COA,Windsor,,,Sillery,,,,Windsor__-Sillery___,Alouette Spirit*ADM*Grain*Windsor__-Sillery___,"Alouette Spirit,ADM,Grain,Windsor,Sillery",21.01,0,0,0,737.9,-624.38,29710,21.93,0,0,0,770.37,-385.18,,30720.14,0.725,Tonnage-based,5,0,Simple - Price difference per litre * metric tonnes * tonnage carried,Econo Fuel Price on date of loading in Hamilton,,YES,135966.0,0.0,0.0,135966.0,20240425033036,20240502034258,20240425033036.20240502034258,20240425033036.20240502034258,2024-05-01,5,2024-04-30 23:59:59.999999999,4,5.85,1.15
Alouette Spirit,4,6,Firm,Alouette,May,10.14,10.14,2024-05-02 03:42:58.308,2024-05-12 07:02:43.142,2,1,"Alouette,Aluminum,Sept Iles,Oswego,Toledo",Aluminum,11500.0,11500.0,"Alouette Spirit,Alouette,Aluminum,Sept Iles,Oswego,Toledo",Alouette Spirit,Alouette,Aluminum,COA,Sept-Iles,,,Oswego,Toledo,,,Sept-Iles__-Oswego_Toledo__,Alouette Spirit*Alouette*Aluminum*Sept-Iles__-Oswego_Toledo__,"Alouette Spirit,Alouette,Aluminum,Sept Iles,Oswego,Toledo",35.0066,0,2.15,0,951.13,-475.57,53046,35.17,0,2.5447053690843306,0,960.64,-480.33,,54849.564,0.7,Litres-based,0,92000,Simple - litres * price diff,Actual fuel price paid,,YES,404455.0,29264.111744469803,0.0,375190.8882555302,20240502034258,20240512070243,20240502034258.20240512070243,20240502034258.20240512070243,2024-05-01,5,2024-05-31 23:59:59.999999999,5,0.0,10.138713356481482
Alouette Spirit,5,7,Tentative,Sollio Split,May,9.07,9.07,2024-05-12 07:02:43.142,2024-05-21 08:40:25.280,2,2,"Sollio Split,Calcium/Grain,Windsor,Courtright,Cornwall,Sillery",Calcium/Grain,6200.0,12200.0,"Alouette Spirit,Sollio Split,Calcium/Grain,Windsor,Courtright,Cornwall,Sillery",Alouette Spirit,Sollio/Trillium,Grain/Calcium Split,COA,Windsor,Courtright,,Cornwall,SIllery,,,Windsor_Courtright_-Cornwall_SIllery__,Alouette Spirit*Sollio/Trillium*Grain/Calcium Split*Windsor_Courtright_-Cornwall_SIllery__,"Alouette Spirit,Sollio Split,Calcium/Grain,Windsor,Courtright,Cornwall,Sillery",23.68,0,0.9165,0,687.7,-343.85,42801.535874999994,25.63,0,0.9165,0,793.63,-385.18,,44256.788094749994,0.8,Litres-based & Tonnage-based,2.6,55000,Multiple,Multiple,,NO,312686.0,11181.3,0.0,301504.7,20240512070243,20240521084025,20240512070243.20240521084025,20240512070243.20240521084025,2024-05-01,5,2024-05-31 23:59:59.999999999,5,0.0,9.067848819444444
Alouette Spirit,6,8,Firm,Alouette,May,10.14,10.14,2024-05-21 08:40:25.280,2024-05-31 12:00:10.114,2,1,"Alouette,Aluminum,Sept Iles,Oswego,Toledo",Aluminum,11500.0,11500.0,"Alouette Spirit,Alouette,Aluminum,Sept Iles,Oswego,Toledo",Alouette Spirit,Alouette,Aluminum,COA,Sept-Iles,,,Oswego,Toledo,,,Sept-Iles__-Oswego_Toledo__,Alouette Spirit*Alouette*Aluminum*Sept-Iles__-Oswego_Toledo__,"Alouette Spirit,Alouette,Aluminum,Sept Iles,Oswego,Toledo",35.0066,0,2.15,0,951.13,-475.57,53046,35.17,0,2.5447053690843306,0,960.64,-480.33,,54849.564,0.7,Litres-based,0,92000,Simple - litres * price diff,Actual fuel price paid,,YES,404455.0,29264.111744469803,0.0,375190.8882555302,20240521084025,20240531120010,20240521084025.20240531120010,20240521084025.20240531120010,2024-05-01,5,2024-05-31 23:59:59.999999999,5,0.0,10.138713356481482
Alouette Spirit,7,9,Firm,ADM,Jun,6.4,6.9,2024-05-31 12:00:10.114,2024-06-07 09:33:01.130,1,1,"ADM,Grain,Windsor,Sillery",Grain,6200.0,6200.0,"Alouette Spirit,ADM,Grain,Windsor,Sillery",Alouette Spirit,ADM,Grain,COA,Windsor,,,Sillery,,,,Windsor__-Sillery___,Alouette Spirit*ADM*Grain*Windsor__-Sillery___,"Alouette Spirit,ADM,Grain,Windsor,Sillery",21.01,0,0,0,737.9,-624.38,29710,21.93,0,0,0,770.37,-385.18,,30720.14,0.725,Tonnage-based,5,0,Simple - Price difference per litre * metric tonnes * tonnage carried,Econo Fuel Price on date of loading in Hamilton,,YES,135966.0,0.0,0.0,135966.0,20240531120010,20240607093301,20240531120010.20240607093301,20240531120010.20240607093301,2024-06-01,6,2024-05-31 23:59:59.999999999,5,0.5,6.4
Alouette Spirit,8,10,Firm,Alouette,Jun,10.14,10.14,2024-06-07 09:33:01.130,2024-06-17 12:52:45.964,2,1,"Alouette,Aluminum,Sept Iles,Oswego,Toledo",Aluminum,11500.0,11500.0,"Alouette Spirit,Alouette,Aluminum,Sept Iles,Oswego,Toledo",Alouette Spirit,Alouette,Aluminum,COA,Sept-Iles,,,Oswego,Toledo,,,Sept-Iles__-Oswego_Toledo__,Alouette Spirit*Alouette*Aluminum*Sept-Iles__-Oswego_Toledo__,"Alouette Spirit,Alouette,Aluminum,Sept Iles,Oswego,Toledo",35.0066,0,2.15,0,951.13,-475.57,53046,35.17,0,2.5447053690843306,0,960.64,-480.33,,54849.564,0.7,Litres-based,0,92000,Simple - litres * price diff,Actual fuel price paid,,YES,404455.0,29264.111744469803,0.0,375190.8882555302,20240607093301,20240617125245,20240607093301.20240617125245,20240607093301.20240617125245,2024-06-01,6,2024-06-30 23:59:59.999999999,6,0.0,10.138713356481482
Alouette Spirit,9,11,Tentative,ADM Split,Jun,9.07,9.07,2024-06-17 12:52:45.964,2024-06-26 14:30:28.102,2,2,"ADM Split,Calcium/Grain,Windsor,Courtright,Cornwall,Sillery",Calcium/Grain,6200.0,12200.0,"Alouette Spirit,ADM Split,Calcium/Grain,Windsor,Courtright,Cornwall,Sillery",Alouette Spirit,ADM/Trillium,Grain/Calcium Split,COA,Windsor,Courtright,,Cornwall,SIllery,,,Windsor_Courtright_-Cornwall_SIllery__,Alouette Spirit*ADM/Trillium*Grain/Calcium Split*Windsor_Courtright_-Cornwall_SIllery__,"Alouette Spirit,ADM Split,Calcium/Grain,Windsor,Courtright,Cornwall,Sillery",24.740000000000002,0,0.9165,0,737.9,-624.38,39185,25.63,0,0.9165,0,793.63,-396.82,,40517.29,0.8,Litres-based & Tonnage-based,2.6,55000,Multiple,Multiple,,YES,312686.0,11181.3,0.0,301504.7,20240617125245,20240626143028,20240617125245.20240626143028,20240617125245.20240626143028,2024-06-01,6,2024-06-30 23:59:59.999999999,6,0.0,9.067848819444444
Alouette Spirit,10,12,Firm,Alouette,Jul,5.65,10.05,2024-06-26 14:30:28.102,2024-07-06 15:35:37.883,2,1,"Alouette,Aluminum,Sept Iles,Oswego,Toledo",Aluminum,11500.0,11500.0,"Alouette Spirit,Alouette,Aluminum,Sept Iles,Oswego,Toledo",Alouette Spirit,Alouette,Aluminum,COA,Sept-Iles,,,Oswego,Toledo,,,Sept-Iles__-Oswego_Toledo__,Alouette Spirit*Alouette*Aluminum*Sept-Iles__-Oswego_Toledo__,"Alouette Spirit,Alouette,Aluminum,Sept Iles,Oswego,Toledo",35.0066,0,2.15,0,951.13,-475.57,53046,35.17,0,2.5447053690843306,0,960.64,-480.33,,54849.564,0.7,Litres-based,0,92000,Simple - litres * price diff,Actual fuel price paid,,YES,404455.0,29264.111744469803,0.0,375190.8882555302,20240626143028,20240706153537,20240626143028.20240706153537,20240626143028.20240706153537,2024-07-01,7,2024-06-30 23:59:59.999999999,6,4.4,5.65
Alouette Spirit,11,13,Firm,ADM,Jul,6.71,6.71,2024-07-06 15:35:37.883,2024-07-13 08:42:38.035,1,1,"ADM,Grain,Windsor,Sillery",Grain,6200.0,6200.0,"Alouette Spirit,ADM,Grain,Windsor,Sillery",Alouette Spirit,ADM,Grain,COA,Windsor,,,Sillery,,,,Windsor__-Sillery___,Alouette Spirit*ADM*Grain*Windsor__-Sillery___,"Alouette Spirit,ADM,Grain,Windsor,Sillery",21.01,0,0,0,737.9,-624.38,29710,21.93,0,0,0,770.37,-385.18,,30720.14,0.725,Tonnage-based,5,0,Simple - Price difference per litre * metric tonnes * tonnage carried,Econo Fuel Price on date of loading in Hamilton,,YES,135966.0,0.0,0.0,135966.0,20240706153537,20240713084238,20240706153537.20240713084238,20240706153537.20240713084238,2024-07-01,7,2024-07-31 23:59:59.999999999,7,0.0,6.713196203703704
Alouette Spirit,12,14,Firm,Alouette,Jul,9.81,9.81,2024-07-13 08:42:38.035,2024-07-23 04:06:09.532,2,1,"Alouette,Aluminum,Sept Iles,Oswego,Toledo",Aluminum,11500.0,11500.0,"Alouette Spirit,Alouette,Aluminum,Sept Iles,Oswego,Toledo",Alouette Spirit,Alouette,Aluminum,COA,Sept-Iles,,,Oswego,Toledo,,,Sept-Iles__-Oswego_Toledo__,Alouette Spirit*Alouette*Aluminum*Sept-Iles__-Oswego_Toledo__,"Alouette Spirit,Alouette,Aluminum,Sept Iles,Oswego,Toledo",35.0066,0,2.15,0,951.13,-475.57,53046,35.17,0,2.5447053690843306,0,960.64,-480.33,,54849.564,0.7,Litres-based,0,92000,Simple - litres * price diff,Actual fuel price paid,,YES,404455.0,29264.111744469803,0.0,375190.8882555302,20240713084238,20240723040609,20240713084238.20240723040609,20240713084238.20240723040609,2024-07-01,7,2024-07-31 23:59:59.999999999,7,0.0,9.8080034375
Alouette Spirit,33,1,Firm,ADM Split,Mar,10.0,10.0,2024-03-18 08:00:00.000,2024-03-28 08:04:19.233,2,2,"ADM Split,Calcium/Grain,Windsor,Courtright,Cornwall,Sillery",Calcium/Grain,6200.0,12200.0,"Alouette Spirit,ADM Split,Calcium/Grain,Windsor,Courtright,Cornwall,Sillery",Alouette Spirit,ADM/Trillium,Grain/Calcium Split,COA,Windsor,Courtright,,Cornwall,SIllery,,,Windsor_Courtright_-Cornwall_SIllery__,Alouette Spirit*ADM/Trillium*Grain/Calcium Split*Windsor_Courtright_-Cornwall_SIllery__,"Alouette Spirit,ADM Split,Calcium/Grain,Windsor,Courtright,Cornwall,Sillery",24.740000000000002,0,0.9165,0,737.9,-624.38,39185,25.63,0,0.9165,0,793.63,-396.82,,40517.29,0.8,Litres-based & Tonnage-based,2.6,55000,Multiple,Multiple,,YES,312686.0,11181.3,0.0,301504.7,20240318080000,20240328080419,20240318080000.20240328080419,20240318080000.20240328080419,2024-03-01,3,2024-03-31 23:59:59.999999999,3,0.0,10.003000381944444
Alouette Spirit,34,2,Firm,Alouette,Apr,6.8,10.46,2024-03-28 08:04:19.233,2024-04-07 19:12:46.403,1,1,"Alouette,Aluminum,Sept Iles,Toledo",Aluminum,11500.0,11500.0,"Alouette Spirit,Alouette,Aluminum,Sept Iles,Toledo",Alouette Spirit,Alouette,Aluminum,COA,Sept-Iles,,,Toledo,,,,Sept-Iles__-Toledo___,Alouette Spirit*Alouette*Aluminum*Sept-Iles__-Toledo___,"Alouette Spirit,Alouette,Aluminum,Sept Iles,Toledo",35.76,0,2.15,0,951.13,-475.57,57004,36.12,0,2.5447053690843306,0,960.64,-480.33,,58942.136,0.7,Litres-based,0,92000,Simple - litres * price diff,Actual fuel price paid,,YES,415379.99999999994,29264.111744469803,0.0,386115.88825553015,20240328080419,20240407191246,20240328080419.20240407191246,20240328080419.20240407191246,2024-04-01,4,2024-03-31 23:59:59.999999999,3,3.66,6.8
Blair McKeil,1,2,Firm,P&H,Apr,6.06,6.06,2024-04-12 15:21:27.270,2024-04-18 16:42:48.565,1,1,"P&H,Grain,Port Colborne,Quebec",Grain,12800.0,12800.0,"Blair McKeil,P&H,Grain,Port Colborne,Quebec",Blair McKeil,P&H,Grain,COA,Port Colborne,,,Quebec,,,,Port Colborne__-Quebec___,Blair McKeil*P&H*Grain*Port Colborne__-Quebec___,"Blair McKeil,P&H,Grain,Port Colborne,Quebec",,,,,,,22000,21.4555,0,0,0,1200,-600,,22748,0,,0,0,,,,NO,274630.4,0.0,0.0,274630.4,20240412152127,20240418164248,20240412152127.20240418164248,20240412152127.20240418164248,2024-04-01,4,2024-04-30 23:59:59.999999999,4,0.0,6.056496469907407
